AÑO,MES,CATEGORIA,TIPO,DISTRITO,PROVINCIA,LUGAR,SITIOTURISTICO,ACTIVIDAD,NVISITANTES,PROVENIENCIA,PRECIO
2017,enero,Aventura,exonerado,Shilla,Carhuaz,Ulta,Ulta,escaladaalnevadoContrahierbas,0,extranjero,65
2017,enero,convencional,Conboleto ,Chavin ,Huaraz,Querococha,Lagunaquerocoha,Turismo,0,nacional,30
2017,enero,convencional,Conboleto ,Chavin ,Huaraz,Querococha,Lagunaquerocoha,Turismo,0,extranjero,65
2017,enero,convencional,exonerado,Chavin ,Huaraz,Querococha,Lagunaquerocoha,Turismo,0,nacional,30
2017,enero,convencional,exonerado,Chavin ,Huaraz,Querococha,Lagunaquerocoha,Turismo,0,extranjero,65
2017,enero,convencional,Conboleto ,Caraz,Huaylas,Paron,LagunaParon,Turismo,0,nacional,30
2017,enero,convencional,Conboleto ,Caraz,Huaylas,Paron,LagunaParon,Turismo,0,extranjero,65
2017,enero,convencional,exonerado,Caraz,Huaylas,Paron,LagunaParon,Turismo,0,nacional,30
2017,enero,convencional,exonerado,Caraz,Huaylas,Paron,LagunaParon,Turismo,0,extranjero,65
2017,enero,Aventura,Conboleto ,Caraz,Huaylas,Paron,Paron,escaladaalnevadoArtesonraju,0,nacional,30
2017,enero,Aventura,Conboleto ,Caraz,Huaylas,Paron,Paron,escaladaalnevadoArtesonraju,0,extranjero,65
2017,enero,Aventura,exonerado,Caraz,Huaylas,Paron,Paron,escaladaalnevadoArtesonraju,0,nacional,30
2017,enero,Aventura,exonerado,Caraz,Huaylas,Paron,Paron,escaladaalnevadoArtesonraju,0,extranjero,65
2017,enero,Aventura,Conboleto ,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekking Santa Cruz - Huaripampa,0,nacional,30
2017,enero,Aventura,Conboleto ,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekkingSantaCruzHuaripampa,79,extranjero,65
2017,enero,Aventura,exonerado,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekkingSantaCruzHuaripampa,0,nacional,30
2017,enero,Aventura,exonerado,Cashapampa,Sihuas,Cashapampa,Cashapampa,trekkingSantaCruzHuaripampa,0,extranjero,65
2017,enero,Aventura,Conboleto ,SanMarcos,Huari,Huaripampa,Huaripampa,trekkingSantaCruzHuaripampa,8,nacional,30
2017,enero,Aventura,Conboleto ,SanMarcos,Huari,Huaripampa,Huaripampa,trekkingSantaCruzHuaripampa,211,extranjero,65
2017,enero,Aventura,exonerado,SanMarcos,Huari,Huaripampa,Huaripampa,trekkingSantaCruzHuaripampa,0,nacional,30
2017,enero,Aventura,exonerado,SanMarcos,Huari,Huaripampa,Huaripampa,trekkingSantaCruzHuaripampa,0,extranjero,65
2017,febrero,convencional,Conboleto ,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna73,Turismo,4684,nacional,30
2017,febrero,convencional,Conboleto ,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna74,Turismo,1917,extranjero,65
2017,febrero,convencional,exonerado,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna75,Turismo,496,nacional,30
2017,febrero,convencional,exonerado,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna76,Turismo,0,extranjero,65
2017,febrero,Aventura,Conboleto ,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,Turismo,0,nacional,30
2017,febrero,Aventura,Conboleto ,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,Turismo,167,extranjero,65
2017,febrero,Aventura,exonerado,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,Turismo,0,nacional,30
2017,febrero,Aventura,exonerado,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,Turismo,68,extranjero,65
2017,febrero,convencional,Conboleto ,Catac,Recuay,carpa,Pastoruri,Alpinismo,3728,nacional,30
2017,febrero,convencional,Conboleto ,Catac,Recuay,carpa,Pastoruri,Alpinismo,430,extranjero,65
2017,febrero,convencional,exonerado,Catac,Recuay,carpa,Pastoruri,Alpinismo,327,nacional,30
2017,febrero,convencional,exonerado,Catac,Recuay,carpa,Pastoruri,Alpinismo,0,extranjero,65
2017,febrero,Aventura,Conboleto ,Huaraz,Huaraz,Ishinca,PNH,Turismo,0,nacional,30
2017,febrero,Aventura,Conboleto ,Huaraz,Huaraz,Ishinca,PNH,Turismo,0,extranjero,65
2017,febrero,Aventura,exonerado,Huaraz,Huaraz,Ishinca,PNH,Turismo,0,nacional,30
2017,febrero,Aventura,exonerado,Huaraz,Huaraz,Ishinca,PNH,Turismo,0,extranjero,65
2017,febrero,convencional,Conboleto ,Acopalca,Huari,Purhuay,lagunaPurhuay,escaladaalosnevadosdeIshinca,0,nacional,30
